Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Year_Extracted,g_q1,g_q3,g_iqr,Is_Outlier
877023,375,Nitrogen dioxide (NO2),Mean,ppb,NA,209,Bensonhurst - Bay Ridge,Summer 2023,2023-06-01,12.10054339,2023,15.75,24.1425,8.392499999999998,0
877227,375,Nitrogen dioxide (NO2),Mean,ppb,CD,404,Elmhurst and Corona (CD4),Summer 2023,2023-06-01,14.38556501,2023,15.75,24.1425,8.392499999999998,0
874804,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,313,Coney Island (CD13),Summer 2023,2023-06-01,8.337358199,2023,7.35,10.2425,2.8925,0
874858,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,413,Queens Village (CD13),Summer 2023,2023-06-01,8.60642687,2023,7.35,10.2425,2.8925,0
874535,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,105106107,South Bronx,Summer 2023,2023-06-01,9.409821191,2023,7.35,10.2425,2.8925,0
874900,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,305,East New York and Starrett City (CD5),Summer 2023,2023-06-01,8.832348602,2023,7.35,10.2425,2.8925,0
874891,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2023,2023-06-01,9.189253309,2023,7.35,10.2425,2.8925,0
877137,375,Nitrogen dioxide (NO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Summer 2023,2023-06-01,14.04503059,2023,15.75,24.1425,8.392499999999998,0
874383,365,Fine particles (PM 2.5),Mean,mcg/m3,NA,209,Bensonhurst - Bay Ridge,Summer 2023,2023-06-01,8.502404761,2023,7.35,10.2425,2.8925,0
878183,386,Ozone (O3),Mean,ppb,NA,405,Ridgewood - Forest Hills,Summer 2023,2023-06-01,35.74608194,2023,28.98,33,4.02,0
878151,386,Ozone (O3),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Summer 2023,2023-06-01,29.62674459,2023,28.98,33,4.02,0
878153,386,Ozone (O3),Mean,ppb,CD,206,Belmont and East Tremont (CD6),Summer 2023,2023-06-01,32.73465101,2023,28.98,33,4.02,0
878201,386,Ozone (O3),Mean,ppb,NA,201,Greenpoint,Summer 2023,2023-06-01,33.7542222,2023,28.98,33,4.02,0
