Year_Extracted,Geo Place Name,Name,Data Value
2022,Chelsea - Clinton,Nitrogen dioxide (NO2),19.50581497
2022,Coney Island - Sheepshead Bay,Fine particles (PM 2.5),5.821626343
2022,Hunts Point - Mott Haven,Nitrogen dioxide (NO2),13.42292044
2022,Crotona -Tremont,Nitrogen dioxide (NO2),13.62824594
2022,Bayside - Little Neck,Fine particles (PM 2.5),6.370590039
2022,Coney Island - Sheepshead Bay,Nitrogen dioxide (NO2),8.463694088
2022,West Queens,Nitrogen dioxide (NO2),12.76958802
2022,Gramercy Park - Murray Hill,Ozone (O3),28.88368865
2022,Southwest Queens,Ozone (O3),35.15616093
2022,Jamaica,Fine particles (PM 2.5),6.298728089
2022,Port Richmond,Fine particles (PM 2.5),6.216324773
2022,Upper West Side,Nitrogen dioxide (NO2),14.66189338
2022,Kingsbridge - Riverdale,Fine particles (PM 2.5),7.146132353
2022,Williamsburg - Bushwick,Nitrogen dioxide (NO2),12.66801156
2022,West Queens,Ozone (O3),33.5625397
2022,Downtown - Heights - Slope,Nitrogen dioxide (NO2),13.40817829
2022,Fordham - Bronx Pk,Fine particles (PM 2.5),7.129036078
2022,Crotona -Tremont,Fine particles (PM 2.5),7.191219229
2022,Fresh Meadows,Nitrogen dioxide (NO2),10.63849526
2022,Rockaways,Nitrogen dioxide (NO2),11.40160263
2022,Long Island City - Astoria,Nitrogen dioxide (NO2),17.37601895
2022,Ridgewood - Forest Hills,Nitrogen dioxide (NO2),15.2081041
2022,Port Richmond,Nitrogen dioxide (NO2),13.49888164
2022,Lower Manhattan,Nitrogen dioxide (NO2),20.80571845
2022,Willowbrook,Fine particles (PM 2.5),5.233294329
2022,Union Square - Lower East Side,Nitrogen dioxide (NO2),18.02876309
2022,Greenpoint,Nitrogen dioxide (NO2),18.39671461
2022,Central Harlem - Morningside Heights,Nitrogen dioxide (NO2),16.86623851
2022,Bedford Stuyvesant - Crown Heights,Fine particles (PM 2.5),5.930993839
